userId,movieId,rating,timestamp,Month Name,Year
1,2,3.5,4/2/2005 11:53:00 PM,April,2005
1,29,3.5,4/2/2005 11:31:00 PM,April,2005
1,32,3.5,4/2/2005 11:33:00 PM,April,2005
1,47,3.5,4/2/2005 11:32:00 PM,April,2005
1,50,3.5,4/2/2005 11:29:00 PM,April,2005
1,112,3.5,9/10/2004 3:09:00 AM,September,2004
1,151,4,9/10/2004 3:08:00 AM,September,2004
1,223,4,4/2/2005 11:46:00 PM,April,2005
1,253,4,4/2/2005 11:35:00 PM,April,2005
1,260,4,4/2/2005 11:33:00 PM,April,2005
1,293,4,4/2/2005 11:31:00 PM,April,2005
1,296,4,4/2/2005 11:32:00 PM,April,2005
1,318,4,4/2/2005 11:33:00 PM,April,2005
1,337,3.5,9/10/2004 3:08:00 AM,September,2004
1,367,3.5,4/2/2005 11:53:00 PM,April,2005
1,541,4,4/2/2005 11:30:00 PM,April,2005
1,589,3.5,4/2/2005 11:45:00 PM,April,2005
1,593,3.5,4/2/2005 11:31:00 PM,April,2005
1,653,3,9/10/2004 3:08:00 AM,September,2004
1,919,3.5,9/10/2004 3:07:00 AM,September,2004
1,924,3.5,9/10/2004 3:06:00 AM,September,2004
1,1009,3.5,4/2/2005 11:53:00 PM,April,2005
1,1036,4,4/2/2005 11:44:00 PM,April,2005
1,1079,4,9/10/2004 3:07:00 AM,September,2004
1,1080,3.5,4/2/2005 11:42:00 PM,April,2005
1,1089,3.5,4/2/2005 11:31:00 PM,April,2005
1,1090,4,4/2/2005 11:44:00 PM,April,2005
1,1097,4,4/2/2005 11:48:00 PM,April,2005
1,1136,3.5,4/2/2005 11:30:00 PM,April,2005
1,1193,3.5,4/2/2005 11:31:00 PM,April,2005
1,1196,4.5,4/2/2005 11:32:00 PM,April,2005
1,1198,4.5,4/2/2005 11:30:00 PM,April,2005
1,1200,4,4/2/2005 11:29:00 PM,April,2005
1,1201,3,4/2/2005 11:30:00 PM,April,2005
1,1208,3.5,4/2/2005 11:33:00 PM,April,2005
1,1214,4,9/10/2004 3:12:00 AM,September,2004
1,1215,4,9/10/2004 3:14:00 AM,September,2004
1,1217,3.5,4/2/2005 11:33:00 PM,April,2005
1,1219,4,9/10/2004 3:13:00 AM,September,2004
1,1222,3.5,4/2/2005 11:30:00 PM,April,2005
1,1240,4,4/2/2005 11:43:00 PM,April,2005
1,1243,3,4/2/2005 11:46:00 PM,April,2005
1,1246,3.5,9/10/2004 3:09:00 AM,September,2004
1,1249,4,4/2/2005 11:43:00 PM,April,2005
